foo,Varenavn,Volum,Pris,Literpris,Varetype,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Land,Distrikt,Underdistrikt,Alkohol,Sukker,Produsent,Emballasjetype,Vareurl,
,Georg Breuer Rheingau Auslese 2011,0.75,264.9,353.2,Hvitvin,7,8,0,0,9,Tyskland,Rheingau,Øvrige,8.5,111.1,Georg Breuer,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9304701,
,DIVICI Prosecco Organic,0.75,139.9,186.5,Musserende Vin,6,9,0,0,3,Italia,Veneto,,11,16,DIV,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9305101,
,L´Escargot Côtes de Gascogne Sauvignon Blanc 2012,0.75,109.9,146.5,Hvitvin,7,9,0,0,2,Frankrike,Sørvest,Côtes de Gascogne,12,2.7,Jean Biecher et Fils,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9307401,
,Agustí Torelló Mata Gran Reserva 2007,0.75,250,333.3,Musserende Vin,4,6,0,0,1,Spania,Cava,,11.5,0.3,Agustí Torelló Mata,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9307701,
,Zonin Ripasso Valpolicella Superiore 2012,0.75,157.9,210.5,Rødvin,9,5,5,0,0,Italia,Veneto,Valpolicella,14,8.2,Zonin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9307801,
,Zonin Amarone della Valpolicella 2010,0.75,319.9,426.5,Rødvin,11,3,6,0,0,Italia,Veneto,Valpolicella,15,10,Zonin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9307901,
,Zonin Soave 2013,0.75,124.9,166.5,Hvitvin,4,6,0,0,2,Italia,Veneto,Soave,12,3.9,Zonin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9308001,
,Zonin Il Giangio Recioto di Gambellara 2004,0.5,249.9,499.8,Hvitvin,0,0,0,0,0,Italia,Veneto,Øvrige,12,135,Zonin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9308102,
,Torghatten aquavit,0.5,319.9,639.8,Akevitt,0,0,0,0,0,Norge,Aust-Agder,,38,6,Agder Brenneri - K.G. Puntervo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9308302,
,Storm norsk akevitt,0.7,409.9,585.6,Akevitt,0,0,0,0,0,Norge,Aust-Agder,,38,5,Agder Brenneri - K.G. Puntervo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9308401,
,Utsira Akevitt,0.5,334.9,669.8,Akevitt,0,0,0,0,0,Norge,Aust-Agder,,38,5,Agder Brenneri - K.G. Puntervo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9308502,
,Fjellvitt Akevitten,0.04,51.9,1297.5,Akevitt,0,0,0,0,0,Norge,Aust-Agder,,40,4,Agder Brenneri - K.G. Puntervo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9308603,
,Hot n'Sweet Soft Licorice,0.5,164.9,329.8,Øvrig Brennevin under 22 %,0,0,0,0,0,Danmark,Øvrige,,16,200,Strandgården,PET,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9308702,
,Rabl Riesling Trockenbeerenauslese 2007,0.38,250,666.7,Hvitvin,10,8,0,0,10,Østerrike,Kamptal,Øvrige,10.5,205.8,Weing. Rudolf Rabl,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9308802,
,Valdo Marca Oro Prosecco Superiore Extra Dry,0.75,129.9,173.2,Musserende Vin,6,8,0,0,3,Italia,Veneto,Valdobbiadene,11,15,Valdo Spumanti Srl,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9309201,
,Valdo Cuvée del Fondatore Prosecco Millesimato Brut 2009,0.75,165,220,Musserende Vin,8,5,0,0,3,Italia,Veneto,Valdobbiadene,12,10,Valdo Spumanti Srl,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9309301,
